log_name,drift_id,change_type,drift_type,complexity,change_point,log_size
log_1882_1708943039.xes,['drift_1'],['sudden'],['sudden'],,[1653],3325.0
log_1883_1708943041.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1380, 1925]",2987.0
log_1884_1708943043.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1388, 1760]",3046.0
log_1885_1708943046.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1783, 2216, 3424, 3762]",4796.0
log_1886_1708943050.xes,['drift_1'],['sudden'],['sudden'],,[1964],3788.0
log_1887_1708943053.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'gradual', 'gradual']",,"[1729, 2131, 3908, 5116, 5545]",7110.0
log_1888_1708943063.xes,['drift_1'],['sudden'],['sudden'],,[1702],3317.0
log_1889_1708943066.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1318, 2420, 3549]",5153.0
log_188_1708942883.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['sudden', 'gradual', 'gradual', 'sudden']",,"[1681, 3678, 4081, 5343]",7237.0
log_1890_1708943096.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1181, 3034]",4323.0
log_1891_1708943098.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1776, 2796]",4686.0
log_1892_1708943102.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1240, 1569]",3142.0
log_1893_1708943108.xes,['drift_1'],['sudden'],['sudden'],,[1339],2601.0
log_1894_1708943110.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1454, 1986, 3235, 3597, 5057, 5433]",7179.0
log_1895_1708943113.xes,['drift_1'],['sudden'],['sudden'],,[1169],2774.0
log_1896_1708943116.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",,"[1085, 1683, 2849, 4238]",5972.0
log_1897_1708943120.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1933, 2254]",3946.0
log_1898_1708943122.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1145, 1581, 2858, 3321]",4396.0
log_1899_1708943131.xes,['drift_1'],['sudden'],['sudden'],,[1356],2688.0
log_189_1708942886.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1708, 2245, 3762, 4228]",5730.0
log_18_1708942807.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",,"[1417, 1962, 3059, 4253]",5905.0
log_1900_1708943134.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1443, 3099]",4413.0
log_1901_1708943058.xes,['drift_1'],['sudden'],['sudden'],,[1022],2697.0
log_1902_1708943063.xes,"['drift_1', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end']","['sudden', 'sudden', 'gradual', 'gradual']",,"[1152, 2261, 3944, 4373]",6204.0
log_1904_1708943072.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1191, 2623, 3207]",4575.0
log_1908_1708943083.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1981, 2489]",3645.0
log_1909_1708943086.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",,"[1094, 1555, 2632, 4257]",5311.0
log_190_1708942891.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1399, 3102, 3564, 4604, 5016]",6620.0
log_1910_1708943091.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1676, 2261]",4138.0
log_1911_1708943094.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1875, 2271]",3522.0
log_1912_1708943099.xes,['drift_1'],['sudden'],['sudden'],,[1576],3150.0
log_1914_1708943103.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1504, 1956]",3807.0
log_1916_1708943111.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1527, 1899, 3138, 3570, 5458, 5801]",7610.0
log_1917_1708943122.xes,['drift_1'],['sudden'],['sudden'],,[1930],3272.0
log_1919_1708943127.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['sudden', 'gradual', 'gradual', 'sudden']",,"[1333, 2407, 2842, 4556]",6156.0
log_191_1708942732.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1171, 1709, 3142, 3738, 5664, 6205]",7440.0
log_1920_1708943135.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1501, 3485, 3828]",5809.0
log_1922_1708943143.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'gradual', 'gradual']",,"[1969, 2567, 4150, 5565, 6087]",7414.0
log_1924_1708943155.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['sudden', 'gradual', 'gradual', 'sudden']",,"[1041, 2523, 2931, 4506]",5561.0
log_1925_1708943160.xes,['drift_1'],['sudden'],['sudden'],,[1462],2737.0
log_1926_1708943161.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1868, 3815, 4229]",6025.0
log_1927_1708943166.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1309, 1799, 3547]",4991.0
log_1929_1708943180.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1736, 3185, 5038]",6201.0
log_1930_1708943184.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1856, 2299]",3509.0
log_1931_1708943185.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",,"[1870, 2459, 3489, 4829]",5897.0
log_1932_1708943192.xes,['drift_1'],['sudden'],['sudden'],,[1355],2496.0
log_1934_1708943196.xes,"['drift_1', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end']","['sudden', 'sudden', 'gradual', 'gradual']",,"[1883, 2942, 4075, 4447]",6040.0
log_1935_1708943201.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1879, 2444, 4394, 4840]",5876.0
log_1936_1708943207.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1018, 1342, 2852]",4666.0
log_1937_1708943218.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1148, 1644]",2881.0
log_1938_1708943221.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1334, 1656]",3529.0
log_1939_1708943058.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1037, 2749]",4445.0
log_193_1708942740.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1907, 2468, 4098, 4607]",6044.0
log_1941_1708943065.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['sudden', 'gradual', 'gradual', 'sudden']",,"[1476, 2772, 3204, 4283]",5287.0
log_1942_1708943069.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1264, 1691, 3023, 3417]",4579.0
log_1943_1708943074.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1589, 3296, 3811]",5506.0
log_1946_1708943083.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1350, 1793, 2864]",4314.0
log_1947_1708943089.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1782, 2130]",3956.0
log_1948_1708943093.xes,['drift_1'],['sudden'],['sudden'],,[1742],2841.0
log_194_1708942746.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1423, 1878]",3579.0
log_1950_1708943100.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1407, 3223]",4516.0
log_1951_1708943104.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1192, 1721, 3528, 4103, 5988, 6562]",7620.0
log_1952_1708943110.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1238, 2737]",4590.0
log_1953_1708943114.xes,['drift_1'],['sudden'],['sudden'],,[1435],3283.0
log_1954_1708943118.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1513, 1875, 2903, 3323]",5148.0
log_1956_1708943140.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['sudden', 'gradual', 'gradual', 'sudden']",,"[1725, 3118, 3527, 5046]",6143.0
log_1957_1708943142.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1459, 1950]",3330.0
log_1959_1708943149.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1119, 1656]",3060.0
log_195_1708942749.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1143, 2818, 3251]",4848.0
log_1960_1708943150.xes,['drift_1'],['sudden'],['sudden'],,[1248],2476.0
log_1961_1708943153.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'gradual', 'gradual']",,"[1321, 1804, 3231, 5117, 5513]",7186.0
log_1962_1708943163.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1307, 1639]",3570.0
log_1964_1708943172.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1853, 2369, 4213]",6129.0
log_1965_1708943175.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1042, 1605, 2647, 3038]",4112.0
log_1966_1708943181.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1900, 3463]",4634.0
log_1968_1708943189.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",,"[1376, 1690, 3293, 5222]",7202.0
log_1969_1708943197.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1702, 2082]",3277.0
log_196_1708942754.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'gradual', 'gradual', 'sudden']",,"[1677, 2012, 3607, 4087, 5375]",7030.0
log_1970_1708943200.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1164, 2304, 2746]",3769.0
log_1973_1708943209.xes,['drift_1'],['sudden'],['sudden'],,[1087],2642.0
log_1974_1708943215.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1065, 2764]",3852.0
log_1975_1708943222.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1742, 3097]",4243.0
log_1976_1708943225.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1985, 2332, 3588, 4106, 5425, 5742]",7253.0
log_1978_1708943062.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1552, 2058]",3613.0
log_1979_1708943063.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1088, 2098, 2500, 4066, 4402]",5560.0
log_197_1708942767.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1722, 2202, 3334, 3907, 5704, 6154]",7293.0
log_1980_1708943065.xes,"['drift_1', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end']","['sudden', 'sudden', 'gradual', 'gradual']",,"[1533, 2893, 4414, 4871]",6602.0
log_1981_1708943071.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1548, 3139, 3455]",4666.0
log_1982_1708943076.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1750, 2224, 3631]",5015.0
log_1983_1708943080.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1589, 2058]",3871.0
log_1984_1708943084.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1222, 1681]",3344.0
log_1985_1708943088.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['sudden', 'gradual', 'gradual', 'sudden']",,"[1187, 2562, 3096, 4246]",6159.0
log_1987_1708943098.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1561, 1911, 3348, 3728]",5145.0
log_1988_1708943101.xes,['drift_1'],['sudden'],['sudden'],,[1063],2957.0
log_1989_1708943104.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1318, 1902, 3879]",5358.0
log_198_1708942774.xes,['drift_1'],['sudden'],['sudden'],,[1287],3227.0
log_1990_1708943108.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1086, 1612, 3369, 3878]",4948.0
log_1991_1708943118.xes,['drift_1'],['sudden'],['sudden'],,[1845],3310.0
log_1996_1708943131.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1439, 1944]",3446.0
log_1997_1708943134.xes,['drift_1'],['sudden'],['sudden'],,[1401],2456.0
log_1998_1708943135.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1314, 2393, 2740]",4057.0
log_1999_1708943139.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1980, 2317]",3693.0
log_199_1708942779.xes,['drift_1'],['sudden'],['sudden'],,[1721],3250.0
log_19_1708942819.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1559, 3387, 3810]",5150.0
log_1_1708942732.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1610, 2025, 3321, 3738]",5545.0
log_2001_1708943148.xes,['drift_1'],['sudden'],['sudden'],,[1265],2897.0
log_2002_1708943154.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1876, 2203]",3222.0
log_2003_1708943156.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1416, 1843]",3576.0
log_2004_1708943159.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1880, 2305, 4248]",5545.0
log_2005_1708943166.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1998, 2372, 3385, 3707]",5036.0
log_2006_1708943170.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1740, 3682]",5512.0
log_2007_1708943178.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1783, 2329]",3353.0
log_2008_1708943180.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'gradual', 'gradual', 'sudden']",,"[1438, 2026, 3971, 4364, 6343]",7422.0
log_200_1708942781.xes,['drift_1'],['sudden'],['sudden'],,[1381],3060.0
log_2010_1708943188.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1810, 2255]",3521.0
log_2011_1708943192.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1090, 1439]",3100.0
log_2012_1708943195.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1324, 1767, 3446]",4541.0
log_2013_1708943203.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1356, 1710, 3045, 3629]",5221.0
log_2014_1708943208.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1409, 3099]",4255.0
log_2015_1708943062.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'gradual', 'gradual', 'sudden']",,"[1229, 1790, 2968, 3343, 4927]",6664.0
log_2016_1708943071.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1959, 2481]",3672.0
log_2018_1708943075.xes,['drift_1'],['sudden'],['sudden'],,[1099],2168.0
log_2019_1708943076.xes,"['drift_1', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end']","['sudden', 'sudden', 'gradual', 'gradual']",,"[1018, 2419, 4278, 4826]",6758.0
log_201_1708942783.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",,"[1339, 1756, 3034, 4636]",6471.0
log_2021_1708943084.xes,"['drift_1', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end']","['sudden', 'sudden', 'gradual', 'gradual']",,"[1943, 3910, 5243, 5758]",7116.0
log_2022_1708943094.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1233, 1648, 2944]",4630.0
log_2023_1708943097.xes,['drift_1'],['sudden'],['sudden'],,[1986],3239.0
log_2027_1708943110.xes,['drift_1'],['sudden'],['sudden'],,[1933],2994.0
log_2028_1708943112.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1859, 2936]",4491.0
log_202_1708942791.xes,"['drift_1', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end']","['sudden', 'sudden', 'gradual', 'gradual']",,"[1485, 2896, 3902, 4237]",5558.0
log_2030_1708943120.xes,['drift_1'],['sudden'],['sudden'],,[1478],2570.0
log_2031_1708943127.xes,['drift_1'],['sudden'],['sudden'],,[1067],2324.0
log_2032_1708943128.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1221, 1616]",3223.0
log_2034_1708943133.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'gradual', 'gradual', 'sudden']",,"[1954, 2419, 3508, 4066, 5413]",6461.0
log_2035_1708943147.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'gradual', 'gradual', 'sudden']",,"[1086, 1631, 3506, 3867, 5089]",6604.0
log_2036_1708943157.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'gradual', 'gradual', 'sudden']",,"[1385, 1834, 3019, 3349, 4609]",6045.0
log_2039_1708943167.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1852, 2379]",3590.0
log_2042_1708943174.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1865, 2219]",3772.0
log_2043_1708943177.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1407, 1773, 3731]",5475.0
log_2045_1708943189.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1842, 2183]",3664.0
log_2047_1708943194.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1545, 1879, 3861, 4456]",6116.0
log_2048_1708943200.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1342, 2728, 3068]",4222.0
log_2049_1708943207.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1896, 2243, 3932, 4367]",5537.0
log_204_1708942799.xes,['drift_1'],['sudden'],['sudden'],,[1548],3522.0
log_2050_1708943211.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1488, 2606, 3694]",5247.0
log_2051_1708943218.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1089, 1433]",2629.0
log_2052_1708943220.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['sudden', 'gradual', 'gradual', 'sudden']",,"[1746, 3364, 3805, 5268]",7116.0
log_2053_1708943067.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1216, 1651]",3208.0
log_2054_1708943069.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1001, 1528]",2854.0
log_2055_1708943072.xes,['drift_1'],['sudden'],['sudden'],,[1457],2883.0
log_2056_1708943074.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1703, 2244, 3379]",5196.0
log_2057_1708943078.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'gradual', 'gradual']",,"[1465, 1775, 3164, 4311, 4908]",6179.0
log_2058_1708943083.xes,['drift_1'],['sudden'],['sudden'],,[1997],3161.0
log_205_1708942800.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",,"[1295, 1630, 3379, 4445]",6277.0
log_2060_1708943087.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",,"[1776, 2193, 3473, 4615]",6086.0
